nome,email,telefone,cpf,cnpj,cep,data,valor,url,texto_livre
Danielë Souza,o  ig8f_1c@example.com,(71) 959440-7816,999.9299.9999-99,86.379.402/6542-35,84959-310,331/07/203,"R$5 3.553,18",http://site.org/3xkxw/rek8,"Cliente: Danielë Souza Contato: o ig8f_1c@example.com | (71) 959440-7816 Identificação: CPF 999.9299.9999-99 / CNPJ 86.379.402/6542-35 Endereço: CEP 84959-310 Data cadastro: 331/07/203 Faturamento: R$5 3.553,18 Site: http://site.org/3xkxw/rek8 Observação: öëçrôvhsàkãaûûqèçlègòtò"
S  érgi8 Rodrigues,87a+u5b@,+55 71 57871ê331,43039117b122,2  27824-9638308,09839301,33/6/1994,141.556,h  ttps://exemplo.com/n8i4p4/mgg1w11/3dgdzv,Cliente: S érgi8 Rodrigues Contato: 87a+u5b@ | +55 71 57871ê331 Identificação: CPF 43039117b122 / CNPJ 2 27824-9638308 Endereço: CEP 09839301 Data cadastro: 33/6/1994 Faturamento: 141.556 Site: h ttps://exemplo.com/n8i4p4/mgg1w11/3dgdzv Observação: eïeöpzhìpîïcófáõîìêuqnõùu
H  elena Costa,3uea3-.geû@ufc.br,3191824-4935,5555555555,54278498084187,48740164,13//11/2005,"_1,371.3",http://sitee.org/919ah,"Cliente: H elena Costa Contato: 3uea3-.geû@ufc.br | 3191824-4935 Identificação: CPF 5555555555 / CNPJ 54278498084187 Endereço: CEP 48740164 Data cadastro: 13//11/2005 Faturamento: _1,371.3 Site: http://sitee.org/919ah Observação: rwôèzöëvbhqlîqcgïàwûuà"
Yasmin Martins,c1a7mx1e@gmail com,(98) 95777-3872,951.484.656-70,36.629.946/8044-38,4895343,3  9/088/2029,"R  $  3.497,38",http://site.orrg/my5zpj/g1o,"Cliente: Yasmin Martins Contato: c1a7mx1e@gmail com | (98) 95777-3872 Identificação: CPF 951.484.656-70 / CNPJ 36.629.946/8044-38 Endereço: CEP 4895343 Data cadastro: 3 9/088/2029 Faturamento: R $ 3.497,38 Site: http://site.orrg/my5zpj/g1o Observação: ádnáyîúbçìyäawtçyáëüüëïoéoràébyvõö"
Natan Azevedo, -8bz_.b@example.com,+55(92)90330-9232,272.0946.537-26,64641708053143,1  9374-5229,1  9/02/2005,R$ 777.92,https://contato.me/bty/mepgth,Cliente: Natan Azevedo Contato: -8bz_.b@example.com | +55(92)90330-9232 Identificação: CPF 272.0946.537-26 / CNPJ 64641708053143 Endereço: CEP 1 9374-5229 Data cadastro: 1 9/02/2005 Faturamento: R$ 777.92 Site: https://contato.me/bty/mepgth Observação: mfpûáéíçpúäôùéâbfsozúptõîxäíêwàüívwú
Paulo osta,hmuh8lmn@mail.com,1  1 97116-7190,989.413.435-18,40.084.271/0947-77,2941ì3-186,14/02/2010,2756.94 BRL,http://csite.org/t1tdgn/qfkp,Cliente: Paulo osta Contato: hmuh8lmn@mail.com | 1 1 97116-7190 Identificação: CPF 989.413.435-18 / CNPJ 40.084.271/0947-77 Endereço: CEP 2941ì3-186 Data cadastro: 14/02/2010 Faturamento: 2756.94 BRL Site: http://csite.org/t1tdgn/qfkp Observação: ççläêôârlîàòéfäwávuõg
Fernanda Ribeiro,sz9c3fuquhz6@outlook.com,11913171274,876.038.597-94,3  4.824.771/0322-96,46773-782,19/10/20õ22,R$ 2462.93,https://empresacom.br/0v6ra,Cliente: Fernanda Ribeiro Contato: sz9c3fuquhz6@outlook.com | 11913171274 Identificação: CPF 876.038.597-94 / CNPJ 3 4.824.771/0322-96 Endereço: CEP 46773-782 Data cadastro: 19/10/20õ22 Faturamento: R$ 2462.93 Site: https://empresacom.br/0v6ra Observação: úzôfvöëyuòùçéëcóepòösoüfàgçòùgâkútbcuds
M  arin Ribeiro,70.lkklf-@outlook.com,+55 41 713695594,379.237.474-90,74821759464755-,06409097,2  8/04/2010,"1,070.65",h  ttps://empresa.com.br/qigc,"Cliente: M arin Ribeiro Contato: 70.lkklf-@outlook.com | +55 41 713695594 Identificação: CPF 379.237.474-90 / CNPJ 74821759464755- Endereço: CEP 06409097 Data cadastro: 2 8/04/2010 Faturamento: 1,070.65 Site: h ttps://empresa.com.br/qigc Observação: äbóíuóoôeòãútôáhicctéhgpëiy"
P  aulo Ribeeiro,_j0g5-0rcxn@dominio.org,41 92904-ô2284,351.585064-34,7  1.390.053/293j1-83,1  0205-395,07/09/2005,R$2417.18,https://contato.me/42x,Cliente: P aulo Ribeeiro Contato: _j0g5-0rcxn@dominio.org | 41 92904-ô2284 Identificação: CPF 351.585064-34 / CNPJ 7 1.390.053/293j1-83 Endereço: CEP 1 0205-395 Data cadastro: 07/09/2005 Faturamento: R$2417.18 Site: https://contato.me/42x Observação: xjöäefffàgüüxiídîíívõháwõçàû
Beatriz Costa,g.6nj4ogw@mail.comh,+65(31)96120-1836,333333333333,99.809.402/4ã455-67,7  5254-599,56/10v/1993,1739..69,https:///emresa.comö.br/520rn6/w1h,Cliente: Beatriz Costa Contato: g.6nj4ogw@mail.comh | +65(31)96120-1836 Identificação: CPF 333333333333 / CNPJ 99.809.402/4ã455-67 Endereço: CEP 7 5254-599 Data cadastro: 56/10v/1993 Faturamento: 1739..69 Site: https:///emresa.comö.br/520rn6/w1h Observação: wwûôjpgjqmlïjççôelòéãçìçîâ
V  inícius Carvalho,uj2e42tr_d@mail.cm,819551820377,477.005.411-40,79807935978231,89555466,07/05/20e02,292,https://empresa.com.br/vvg9/sjvfj,Cliente: V inícius Carvalho Contato: uj2e42tr_d@mail.cm | 819551820377 Identificação: CPF 477.005.411-40 / CNPJ 79807935978231 Endereço: CEP 89555466 Data cadastro: 07/05/20e02 Faturamento: 292 Site: https://empresa.com.br/vvg9/sjvfj Observação: âósçüâoëptämxöìâãsyèêákmïiq
Beatriz Carvalho,9g77hsfkr26@empresa.com.br,31 7790-1043,137.506.068-62,15.305.152/2047-6,8  9i861-434,03/f07/2020,4  371.93 BRLL,https://contato.me/b6pjs1a/wp0lf7x/786,Cliente: Beatriz Carvalho Contato: 9g77hsfkr26@empresa.com.br | 31 7790-1043 Identificação: CPF 137.506.068-62 / CNPJ 15.305.152/2047-6 Endereço: CEP 8 9i861-434 Data cadastro: 03/f07/2020 Faturamento: 4 371.93 BRLL Site: https://contato.me/b6pjs1a/wp0lf7x/786 Observação: xàzüâyvléúéxêrfûàfàïlës
Letícia Silva,2  +1k2w2cw@,61 91928-5654,40ä1658200241,7  0..213.556/9092-71,10278--681,07/01/2020,R$22854.30,https:/empresa.com.br/mhie2l/fuwe98,Cliente: Letícia Silva Contato: 2 +1k2w2cw@ | 61 91928-5654 Identificação: CPF 40ä1658200241 / CNPJ 7 0..213.556/9092-71 Endereço: CEP 10278--681 Data cadastro: 07/01/2020 Faturamento: R$22854.30 Site: https:/empresa.com.br/mhie2l/fuwe98 Observação: uùowêsfqmòíriòtóëfèôkîîjk
