,nome,email,telefone,cpf,cpf_validado,cnpj,cnpj_validado,cep,data,valor,url
0,"[['Danielë Souza'], 'Danielë Souza']","[['ig8f_1c@example.com'], 'ig8f_1c@example.com']","[[], None]","[[], None]",False,"[['86.379.402/6542-35'], '86.379.402/6542-35']",False,"[['84959-310'], '84959-310']","[[], None]","[[' 3.553,18'], ' 3.553,18']","[['http://site.org/3xkxw/rek8'], 'http://site.org/3xkxw/rek8']"
1,"[['S  érgi'], 'S  érgi']","[[], None]","[[], None]","[['430.391.171-22'], '430.391.171-22']",True,"[[], None]",False,"[['09839301'], '09839301']","[[('3', '6', '1994')], '3/6/1994']","[['141.55'], '141.55']","[[], None]"
2,"[['H  elena Costa'], 'H  elena Costa']","[[], None]","[['(31) 91824-4935'], '(31) 91824-4935']","[[], None]",False,"[['54.278.498/0841-87'], '54.278.498/0841-87']",True,"[['48740164'], '48740164']","[[], None]","[['1,37'], '1,37']","[['http://sitee.org/919ah'], 'http://sitee.org/919ah']"
3,"[['Yasmin Martins'], 'Yasmin Martins']","[[], None]","[['(98) 95777-3872'], '(98) 95777-3872']","[['951.484.656-70'], '951.484.656-70']",True,"[['36.629.946/8044-38'], '36.629.946/8044-38']",True,"[[], None]","[[], None]","[['  3.497,38'], '  3.497,38']","[['http://site.orrg/my5zpj/g1o'], 'http://site.orrg/my5zpj/g1o']"
4,"[['Natan Azevedo'], 'Natan Azevedo']","[['-8bz_.b@example.com'], '-8bz_.b@example.com']","[[], None]","[[], None]",False,"[['64.641.708/0531-43'], '64.641.708/0531-43']",True,"[[], None]","[[('9', '02', '2005')], '9/02/2005']","[['R$ 777.92'], 'R$ 777.92']","[['https://contato.me/bty/mepgth'], 'https://contato.me/bty/mepgth']"
5,"[['Paulo osta'], 'Paulo osta']","[['hmuh8lmn@mail.com'], 'hmuh8lmn@mail.com']","[['(11) 97116-7190'], '(11) 97116-7190']","[['989.413.435-18'], '989.413.435-18']",True,"[['40.084.271/0947-77'], '40.084.271/0947-77']",False,"[[], None]","[[('14', '02', '2010')], '14/02/2010']","[['2756.94'], '2756.94']","[['http://csite.org/t1tdgn/qfkp'], 'http://csite.org/t1tdgn/qfkp']"
6,"[['Fernanda Ribeiro'], 'Fernanda Ribeiro']","[['sz9c3fuquhz6@outlook.com'], 'sz9c3fuquhz6@outlook.com']","[['(11) 91317-1274'], '(11) 91317-1274']","[['876.038.597-94'], '876.038.597-94']",True,"[['34.824.771/0322-96'], '34.824.771/0322-96']",False,"[['46773-782'], '46773-782']","[[], None]","[['R$ 2462.93'], 'R$ 2462.93']","[['https://empresacom.br/0v6ra'], 'https://empresacom.br/0v6ra']"
7,"[['M  arin Ribeiro'], 'M  arin Ribeiro']","[['70.lkklf-@outlook.com'], '70.lkklf-@outlook.com']","[[], None]","[['379.237.474-90'], '379.237.474-90']",True,"[['74.821.759/4647-55'], '74.821.759/4647-55']",True,"[['06409097'], '06409097']","[[('8', '04', '2010')], '8/04/2010']","[['1,070.65'], '1,070.65']","[[], None]"
8,"[['P  aulo Ribeeiro'], 'P  aulo Ribeeiro']","[['_j0g5-0rcxn@dominio.org'], '_j0g5-0rcxn@dominio.org']","[['(41) 92904-2284'], '(41) 92904-2284']","[['351.585.064-34'], '351.585.064-34']",True,"[['71.390.053/2931-83'], '71.390.053/2931-83']",False,"[[], None]","[[('07', '09', '2005')], '07/09/2005']","[['R$2417.18'], 'R$2417.18']","[['https://contato.me/42x'], 'https://contato.me/42x']"
9,"[['Beatriz Costa'], 'Beatriz Costa']","[['g.6nj4ogw@mail.comh'], 'g.6nj4ogw@mail.comh']","[[], None]","[[], None]",False,"[['99.809.402/4455-67'], '99.809.402/4455-67']",True,"[[], None]","[[], None]","[[], None]","[[], None]"
10,"[['V  inícius Carvalho'], 'V  inícius Carvalho']","[['uj2e42tr_d@mail.cm'], 'uj2e42tr_d@mail.cm']","[[], None]","[['477.005.411-40'], '477.005.411-40']",True,"[['79.807.935/9782-31'], '79.807.935/9782-31']",True,"[['89555466'], '89555466']","[[], None]","[[], None]","[['https://empresa.com.br/vvg9/sjvfj'], 'https://empresa.com.br/vvg9/sjvfj']"
11,"[['Beatriz Carvalho'], 'Beatriz Carvalho']","[['9g77hsfkr26@empresa.com.br'], '9g77hsfkr26@empresa.com.br']","[['(31) 7790-1043'], '(31) 7790-1043']","[['137.506.068-62'], '137.506.068-62']",True,"[[], None]",False,"[[], None]","[[], None]","[['  371.93'], '  371.93']","[['https://contato.me/b6pjs1a/wp0lf7x/786'], 'https://contato.me/b6pjs1a/wp0lf7x/786']"
12,"[['Letícia Silva'], 'Letícia Silva']","[[], None]","[['(61) 91928-5654'], '(61) 91928-5654']","[[], None]",False,"[['70.213.556/9092-71'], '70.213.556/9092-71']",True,"[[], None]","[[('07', '01', '2020')], '07/01/2020']","[['R$22854.30'], 'R$22854.30']","[[], None]"
13,"[['Yasmin Azevedo'], 'Yasmin Azevedo']","[[], None]","[['(61) 95556-2588'], '(61) 95556-2588']","[['784.473.647-04'], '784.473.647-04']",True,"[[], None]",False,"[[], None]","[[('25', '03', '2017')], '25/03/2017']","[['341.64'], '341.64']","[[], None]"
14,"[['Daniel Almeida'], 'Daniel Almeida']","[['4q_.@empresa.com.br'], '4q_.@empresa.com.br']","[['(55) 95288-5786'], '(55) 95288-5786']","[['972.896.230-45'], '972.896.230-45']",True,"[[], None]",False,"[[], None]","[[('07', '07', '2012')], '07/07/2012']","[[' 580.87'], ' 580.87']","[['http://site.org/n5u4w/rssh8yzw'], 'http://site.org/n5u4w/rssh8yzw']"
15,"[['Rafaela Lima'], 'Rafaela Lima']","[['rmhvk3qlavs.@gmail.com'], 'rmhvk3qlavs.@gmail.com']","[['(71) 94549-9045'], '(71) 94549-9045']","[['296.685.161-92'], '296.685.161-92']",True,"[[], None]",False,"[['01742-684'], '01742-684']","[[], None]","[['R$ 13324.56'], 'R$ 13324.56']","[['http://data..ufc.br/4j3x'], 'http://data..ufc.br/4j3x']"
16,"[['T  alita Almkeida'], 'T  alita Almkeida']","[[], None]","[[], None]","[['903.311.907-29'], '903.311.907-29']",True,"[['03.067.383/0284-66'], '03.067.383/0284-66']",True,"[['44089268'], '44089268']","[[('04', '02', '2017')], '04/02/2017']","[['2,85'], '2,85']","[[], None]"
17,"[['Sérgio Souza'], 'Sérgio Souza']","[['da0ioe@gmail.com'], 'da0ioe@gmail.com']","[['(51) 96211-8233'], '(51) 96211-8233']","[[], None]",False,"[['97.700.886/0084-45'], '97.700.886/0084-45']",True,"[['84546-156'], '84546-156']","[[], None]","[['R$ 2.00'], 'R$ 2.00']","[['http://site.org/fzy/94dakkf/1vg7co'], 'http://site.org/fzy/94dakkf/1vg7co']"
18,"[['Ana Silva'], 'Ana Silva']","[['++uyas@dominio.org'], '++uyas@dominio.org']","[['(81) 93712-4065'], '(81) 93712-4065']","[['183.982.622-30'], '183.982.622-30']",True,"[['21.264.644/7153-27'], '21.264.644/7153-27']",False,"[[], None]","[[('3', '01', '2009')], '3/01/2009']","[['99.90'], '99.90']","[[], None]"
19,"[['P  aulo Azevesdo'], 'P  aulo Azevesdo']","[['etchbvgkp7@empresa.cm.br'], 'etchbvgkp7@empresa.cm.br']","[['(85) 9537-4785'], '(85) 9537-4785']","[[], None]",False,"[[], None]",False,"[['69691-557'], '69691-557']","[[('5', '05', '2013')], '5  /05/2013']","[[], None]","[['https://exemplo.com/uhpt'], 'https://exemplo.com/uhpt']"
20,"[['Gabriel Barbosa'], 'Gabriel Barbosa']","[[], None]","[[], None]","[[], None]",False,"[['67.294.667/1168-49'], '67.294.667/1168-49']",True,"[[], None]","[[], None]","[['77.34'], '77.34']","[[], None]"
21,"[['Yasminn Azevredo'], 'Yasminn Azevredo']","[['tn7+66@empresa.com.br'], 'tn7+66@empresa.com.br']","[[], None]","[[], None]",False,"[['05.526.965/8271-03'], '05.526.965/8271-03']",True,"[[], None]","[[('1', '02', '2000')], '1/02/2000']","[[' 4743.13'], ' 4743.13']","[['http://site.org/zet1p/pf1/3dte'], 'http://site.org/zet1p/pf1/3dte']"
22,"[['Yasmin Pereira'], 'Yasmin Pereira']","[['m8pja00bo8.wav@example.com'], 'm8pja00bo8.wav@example.com']","[[], None]","[['641.383.670-98'], '641.383.670-98']",True,"[['00.000.000/0000-00'], '00.000.000/0000-00']",False,"[[], None]","[[('17', '08', '2017')], '17/08/2017']","[[], None]","[[], None]"
23,"[['Gabriel Lima'], 'Gabriel Lima']","[[], None]","[['(98) 97859-3213'], '(98) 97859-3213']","[['263.838.065-21'], '263.838.065-21']",True,"[['59.856.420/5930-02'], '59.856.420/5930-02']",True,"[['48039-652'], '48039-652']","[[('04', '02', '2016')], '04/02/2016']","[['R$ 4.139,80'], 'R$ 4.139,80']","[[], None]"
24,"[['Carlos Ribeiro'], 'Carlos Ribeiro']","[['ady20k@dominio.org'], 'ady20k@dominio.org']","[['(21) 99706-2962'], '(21) 99706-2962']","[['658.617.932-71'], '658.617.932-71']",True,"[['04.541.152/6621-57'], '04.541.152/6621-57']",False,"[['15336-884'], '15336-884']","[[], None]","[['R$4503.65'], 'R$4503.65']","[[], None]"
